title,batch_idx,dict_version,batch_accuracy,batch_macro_f1,batch_weighted_f1,batch_phishing_precision,batch_phishing_recall,batch_phishing_f1,river_cumulative_accuracy,river_cumulative_macro_f1,river_cumulative_weighted_f1,transformer_used_count,transformer_promote_count,transformer_demote_count,mean_transformer_phish_prob,prediction_mode
Before Update - Progressive Stream Batch 14,14,4,0.9182,0.8688935043019723,0.9173642711356832,0.8232484076433121,0.7140883977900553,0.764792899408284,0.9159714285714285,0.8731664049867144,0.9159494611212831,1370,65,178,0.48431894183158875,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 15,15,4,0.909,0.8687514853874556,0.9063034995193593,0.7958833619210978,0.6535211267605634,0.7177107501933488,0.9155066666666667,0.8728845055854775,0.9153242343477119,883,55,71,0.6635622382164001,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 16,16,5,0.9428,0.9155413461709561,0.943385298057328,0.8276299112801014,0.8660477453580901,0.846403110823072,0.9172125,0.8756464303649847,0.9170960363431095,1402,54,370,0.5790263414382935,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 17,17,5,0.9146,0.8704704897458642,0.9128847218740919,0.7944535073409462,0.6830294530154277,0.7345399698340875,0.9170588235294118,0.8753850785374299,0.916859077059609,855,78,71,0.7144870758056641,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 18,18,5,0.9278,0.8994652273907491,0.9289006844572694,0.7868020304568528,0.8611111111111112,0.8222811671087533,0.9176555555555556,0.8767670793972884,0.9175530363392571,1461,63,366,0.5592508316040039,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 19,19,6,0.9364,0.9039875308635951,0.9367592747310369,0.8048780487804879,0.8181818181818182,0.8114754098360656,0.9186421052631579,0.8782138527645423,0.9185659361701611,1387,83,144,0.5674587488174438,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 20,20,6,0.9336,0.891933535813679,0.9346743955638335,0.8294679399727148,0.8216216216216217,0.8255261371350985,0.91939,0.8789008897324012,0.9193673089990362,1209,66,163,0.620548665523529,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 21,21,6,0.9208,0.8830010487684203,0.9214364172733598,0.7678321678321678,0.7776203966005666,0.772695285010556,0.9194571428571429,0.879093104180992,0.9194643836494993,1914,71,230,0.4164743423461914,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 22,22,7,0.946,0.9269640309431851,0.9466624939701993,0.8188585607940446,0.8764940239043825,0.846696600384862,0.9206636363636364,0.8812656589276492,0.9207093489531095,1404,48,251,0.5939900279045105,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 23,23,7,0.899,0.8596094430324874,0.9021722624597657,0.6425339366515838,0.797752808988764,0.7117794486215538,0.9197217391304348,0.8802492536068376,0.9198831885349226,1154,106,83,0.7635118961334229,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 24,24,7,0.9374,0.9129464376804172,0.9374225952660223,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.9204583333333334,0.8816873557445684,0.9206063542264143,1131,78,110,0.6601908802986145,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 25,25,8,0.939,0.9100258433648782,0.9404276434473784,0.7593582887700535,0.8554216867469879,0.8045325779036827,0.9212,0.8828373633870594,0.921396893698348,1313,58,236,0.5852699875831604,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 26,26,8,0.9306,0.9037730738193445,0.9312081791496306,0.8012269938650307,0.8371794871794872,0.8188087774294671,0.9215615384615384,0.8836652865572201,0.9217790692283867,1486,67,254,0.5693522095680237,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 27,27,8,0.9354,0.9036029928246568,0.9363959078184231,0.779891304347826,0.8282828282828283,0.8033589923023093,0.922074074074074,0.884399498921361,0.9223208961601034,1362,68,192,0.5649862289428711,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 28,28,9,0.9366,0.9096484624961071,0.9379093499278617,0.7871046228710462,0.893646408839779,0.8369987063389392,0.9225928571428571,0.8853084865442216,0.9228911966643844,1573,101,126,0.566364049911499,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 29,29,9,0.935,0.9003581510913453,0.9355646546439522,0.8081395348837209,0.8249258160237388,0.8164464023494861,0.9230206896551724,0.8858202424712176,0.9233293215924148,1125,56,87,0.6249699592590332,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 30,30,9,0.9308,0.8985942699605081,0.9281573699402783,0.8556521739130435,0.6900420757363254,0.7639751552795031,0.92328,0.8862652863039716,0.9234978011815351,1026,101,139,0.5794676542282104,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 31,31,10,0.9296,0.8988177065743526,0.9302184197242612,0.7875862068965517,0.8042253521126761,0.7958188153310104,0.923483870967742,0.8866772330215297,0.9237136472208741,1307,85,186,0.5593347549438477,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 32,32,10,0.937,0.9090429178373256,0.9375901026405842,0.7956104252400549,0.8333333333333334,0.8140350877192982,0.92390625,0.8873651011809881,0.9241479429058973,1382,60,240,0.5537236332893372,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 33,33,10,0.9346,0.8931949829649903,0.934592288396388,0.8274894810659187,0.7793923381770145,0.8027210884353742,0.9242303030303031,0.8875361986808917,0.9244603902460233,988,85,89,0.7195412516593933,hybrid_base_plus_transformer_specialist
